id,imageUrl,kcalories,class
94,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762166603752.jpg",0,label
52,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762111715878.jpg",70,product
127,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762343300174.jpg",130,nutrition_label
202,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762897738099.jpg",150,label
204,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940023456.jpg",80,product
206,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940455591.jpg",130,product
208,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940625723.jpg",120,nutrition_label
210,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940955604.jpg",147,product
212,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762941285928.jpg",120,label
213,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762941387373.jpg",435,nutrition_label
220,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762951214720.jpg",41,product
224,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762963339362.jpg",128,nutrition_label
226,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127292858.jpg",269,nutrition_label
225,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127284359.jpg",339,nutrition_label
227,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763147207349.jpg",179,nutrition_label
233,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763150270235.jpg",41,product
243,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763199208029.jpg",61,product
244,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763199404118.jpg",398,label
245,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763205458897.jpg",100,nutrition_label
249,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/69b55e45-6d67-4694-8033-ec22823e3741/photo-1763233500521.jpg",,label
260,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763279633426.jpg",217,nutrition_label
261,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763290127583.jpg",521,nutrition_label
279,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763367663570.jpg",442,nutrition_label
262,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763290335647.jpg",360,label
280,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763377814758.jpg",365,nutrition_label
265,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292529956.jpg",175,nutrition_label
