id,imageUrl,kcalories,class,llm_food_name,llm_image_class,llm_calories,llm_protein,llm_fat,llm_carbs,llm_weight,llm_confidence,llm_calorie_basis,llm_text_readability,llm_portion_difficulty,llm_error_risk,llm_is_single_item,llm_is_mixed_dish,llm_error
"94","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762166603752.jpg","0","label","Ирис «Кис-Кис» с молочным вкусом и арахисом","product","","5.5","15","70","","high","package_text","high","medium","low","true","false",""
"52","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762111715878.jpg","70","product","Хурма","product","","","","","97","high","visual_estimate","high","low","low","true","false",""
"127","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762343300174.jpg","130","nutrition_label","Замороженный фруктовый лед со вкусом яблока и ананаса","nutrition_label","130","0","0","31","","high","nutrition_table","medium","low","low","true","false",""
"202","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762897738099.jpg","150","label","Шаурма с курицей","product","150","11.3","9.6","16","250","high","package_text","high","low","low","true","true",""
"204","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940023456.jpg","80","product","Зерна граната","product","78","1.7","1.2","18.7","120","medium","visual_estimate","none","low","low","true","false",""
"206","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940455591.jpg","130","product","Рис","product","130","2.7","0.3","28","200","high","visual_estimate","none","medium","medium","true","false",""
"208","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940625723.jpg","120","nutrition_label","Йогурт питьевой ""Зимний пунш""","nutrition_label","120","5.7","4.8","13.1","","high","nutrition_table","high","medium","low","true","false",""
"210","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940955604.jpg","147","product","Банан","product","142","1.76","0.53","36.64","160","high","mixed","high","low","low","true","false",""
"212","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762941285928.jpg","120","label","Йогурт с наполнителем «Зимний пунш»","product","","","4.8","","130","high","package_text","high","low","low","true","false",""
"213","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762941387373.jpg","435","nutrition_label","Печенье ""Крендельки Coffee""","nutrition_label","435","6","15","69","100","high","nutrition_table","high","medium","low","true","false",""
"220","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762951214720.jpg","41","product","Морковь","product","41","0.9","0.2","9.6","","high","visual_estimate","none","low","low","true","false",""
"224","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762963339362.jpg","128","nutrition_label","Творог мягкий с шоколадной крошкой","nutrition_label","128","7","6.7","10","125","high","nutrition_table","high","low","low","true","false",""
"226","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127292858.jpg","269","nutrition_label","Котлеты по-киевски с сырной начинкой с картофельным пюре","nutrition_label","269.2","13.3","16","18","270","high","nutrition_table","high","low","low","true","true",""
"225","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127284359.jpg","339","nutrition_label","Пирожное «Кольцо творожное»","nutrition_label","338.5","6.7","17.7","38.1","100","high","nutrition_table","high","low","low","true","false",""
"227","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763147207349.jpg","179","nutrition_label","Пельмени отварные с курицей","nutrition_label","179.4","11.4","6.2","19.5","200","high","nutrition_table","high","low","low","true","false",""
"233","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763150270235.jpg","41","product","Морковь","product","41","0.9","0.2","9.6","60","high","visual_estimate","none","low","low","true","false",""
"243","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763199208029.jpg","61","product","Морковь","product","67.2","1.68","0.336","16.632","168","high","mixed","high","low","low","true","false",""
"244","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763199404118.jpg","398","label","Батончик-мюсли с клюквой","product","397.6","4.4","6","77.6","55","high","package_text","high","low","low","true","false",""
"245","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763205458897.jpg","100","nutrition_label","Клаб-сэндвич с куриным пате и копчёно-варёным беконом","nutrition_label","459","17.1","24.48","42.48","180","high","nutrition_table","high","low","low","true","true",""
"249","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/69b55e45-6d67-4694-8033-ec22823e3741/photo-1763233500521.jpg","","label","напиток","product","","","","","","low","visual_estimate","low","medium","high","true","false",""
"260","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763279633426.jpg","217","nutrition_label","Сырники творожные с клубничной начинкой","nutrition_label","217.2","12.9","8.4","22.5","130","high","nutrition_table","high","low","low","false","true",""
"261","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763290127583.jpg","521","nutrition_label","мороженое","nutrition_label","182","","","","35","high","nutrition_table","medium","low","low","true","false",""
