id,imageUrl,kcalories,class,predicted_kcal
94,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762166603752.jpg",0,label,455
52,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762111715878.jpg",70,product,81
127,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762343300174.jpg",130,nutrition_label,130
202,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762897738099.jpg",150,label,150
204,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940023456.jpg",80,product,83
206,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940455591.jpg",130,product,130
208,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940625723.jpg",120,nutrition_label,120
210,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940955604.jpg",147,product,89
212,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762941285928.jpg",120,label,-1
213,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762941387373.jpg",435,nutrition_label,435
220,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762951214720.jpg",41,product,41
224,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762963339362.jpg",128,nutrition_label,128
226,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127292858.jpg",269,nutrition_label,269
225,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127284359.jpg",339,nutrition_label,338
227,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763147207349.jpg",179,nutrition_label,179
233,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763150270235.jpg",41,product,41
243,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763199208029.jpg",61,product,41
244,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763199404118.jpg",398,label,397
245,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763205458897.jpg",100,nutrition_label,254
249,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/69b55e45-6d67-4694-8033-ec22823e3741/photo-1763233500521.jpg",,label,1
260,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763279633426.jpg",217,nutrition_label,217
261,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763290127583.jpg",521,nutrition_label,521
279,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763367663570.jpg",442,nutrition_label,441
262,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763290335647.jpg",360,label,600
280,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763377814758.jpg",365,nutrition_label,228
265,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292529956.jpg",175,nutrition_label,175
264,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292522383.jpg",260,label,260
266,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763312581942.jpg",193,label,193
267,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763312595496.jpg",200,nutrition_label,200
269,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763323281335.jpg",116,nutrition_label,387
263,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292464615.jpg",52,nutrition_label,52
288,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763473146434.jpg",409,label,408
281,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1763379629463.jpg",176,nutrition_label,394
282,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763414742774.jpg",210,nutrition_label,210
284,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763456330457.jpg",150,product,120
286,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763456999983.jpg",440,nutrition_label,440
289,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656113815.jpg",,label,20
290,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656149683.jpg",,product,1
291,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656175666.jpg",,label,25
293,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656228508.jpg",,label,3
299,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763726277158.jpg",10,non_edible,-1
300,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1763997112405.jpg",405,nutrition_label,405
315,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764707827784.jpg",147,error,
323,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764753736718.jpg",350,error,
343,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764790826743.jpg",185,error,
345,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764845600026.jpg",200,error,
346,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764845626057.jpg",100,error,
347,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765106664157.jpg",251,error,
389,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765903266230.jpg",535,nutrition_label,535
349,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765383340478.jpg",217,error,
350,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765383352675.jpg",75,error,
351,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765553492931.jpg",474,error,
352,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765553531046.jpg",417,error,
353,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765636735814.jpg",504,error,
355,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765786633240.jpg",187,nutrition_label,186
357,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765799821053.jpg",202,nutrition_label,202
359,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765802308208.jpg",130,nutrition_label,130
377,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765829334597.jpg",104,error,
378,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765833457745.jpg",430,nutrition_label,430
367,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765808697317.jpg",488,label,487
368,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765809241662.jpg",450,nutrition_label,450
361,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765806051364.jpg",41,nutrition_label,41
375,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765827390559.jpg",350,error,
366,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765808591129.jpg",350,nutrition_label,350
379,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765874214205.jpg",560,nutrition_label,560
