id,imageUrl,kcalories
94,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762166603752.jpg",0
52,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762111715878.jpg",70
127,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1762343300174.jpg",130
202,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762897738099.jpg",150
204,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940023456.jpg",80
206,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940455591.jpg",130
208,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762940625723.jpg",120
210,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762940955604.jpg",147
212,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762941285928.jpg",120
213,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/21c0d998-83d4-46a6-926a-cd0f86d58529/photo-1762941387373.jpg",435
220,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762951214720.jpg",41
224,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1762963339362.jpg",128
226,"https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763127292858.jpg",269
